"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Banco Carrefour API","0","Usuários","1","0","Criar usuário","0"
"0","Banco Carrefour API","0","Usuários","1","0","Atualizar usuário","0"
"0","Banco Carrefour API","0","Usuários","1","0","Buscar usuário inexistente","0"
"0","Banco Carrefour API","0","Usuários","1","0","Buscar usuário","0"
"0","Banco Carrefour API","0","Usuários","1","0","Excluir usuário inexistente","0"
"0","Banco Carrefour API","0","Usuários","1","0","Excluir usuário","0"
"0","Banco Carrefour API","0","Usuários","1","0","Listar usuários","0"
"0","Banco Carrefour API","0","Autenticação","1","0","Login com sucesso","0"
"0","Banco Carrefour API","0","Usuários","1","0","Validação de e-mail obrigatório","0"
"0","Banco Carrefour API","0","Usuários","1","0","Validação de senha obrigatória","0"
"0","Banco Carrefour API","0","Autenticação","1","0","Login com senha inválida","0"
"0","Banco Carrefour API","0","Usuários","1","0","Validação de e-mail duplicado","0"
"0","Banco Carrefour API","0","Usuários","1","0","Validação de nome obrigatório","0"
