"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","187","deve criar um usuário com sucesso","","2026-07-26","passed","2026-07-26","POST /usuarios","users\create-user.spec.ts","",""
"","688","deve atualizar um usuário","","2026-07-26","passed","2026-07-26","CRUD de usuários","users\users-crud.spec.ts","",""
"","179","deve retornar erro ao buscar usuário inexistente","","2026-07-26","passed","2026-07-26","Cenários negativos de usuários","users\users-negative.spec.ts","",""
"","528","deve buscar um usuário pelo ID","","2026-07-26","passed","2026-07-26","CRUD de usuários","users\users-crud.spec.ts","",""
"","172","deve informar que nenhum registro foi excluído","","2026-07-26","passed","2026-07-26","Cenários negativos de usuários","users\users-negative.spec.ts","",""
"","509","deve excluir um usuário","","2026-07-26","passed","2026-07-26","CRUD de usuários","users\users-crud.spec.ts","",""
"","631","deve listar todos os usuários","","2026-07-26","passed","2026-07-26","CRUD de usuários","users\users-crud.spec.ts","",""
"","1075","deve realizar login e retornar token JWT","","2026-07-26","passed","2026-07-26","POST /login","users\login.spec.ts","",""
"","178","não deve criar usuário sem e-mail","","2026-07-26","passed","2026-07-26","Cenários negativos de usuários","users\users-negative.spec.ts","",""
"","185","não deve criar usuário sem password","","2026-07-26","passed","2026-07-26","Cenários negativos de usuários","users\users-negative.spec.ts","",""
"","515","não deve realizar login com senha inválida","","2026-07-26","passed","2026-07-26","POST /login","users\login.spec.ts","",""
"","1047","não deve criar usuário com e-mail duplicado","","2026-07-26","passed","2026-07-26","Cenários negativos de usuários","users\users-negative.spec.ts","",""
"","187","não deve criar usuário sem nome","","2026-07-26","passed","2026-07-26","Cenários negativos de usuários","users\users-negative.spec.ts","",""
